iter	Passed	Remaining
0	12	12093
1	66	33093
2	81	27148
3	102	25398
4	131	26243
5	140	23283
6	147	20982
7	156	19408
8	163	17967
9	169	16772
10	174	15710
11	180	14892
12	188	14340
13	195	13751
14	201	13229
15	209	12894
16	215	12479
17	223	12216
18	230	11892
19	237	11647
20	244	11395
21	250	11140
22	262	11139
23	272	11087
24	279	10895
25	286	10746
26	299	10785
27	310	10763
28	316	10589
29	325	10512
30	331	10357
31	339	10274
32	345	10132
33	354	10068
34	361	9954
35	369	9889
36	375	9780
37	382	9671
38	390	9623
39	396	9523
40	405	9475
41	411	9379
42	419	9341
43	424	9233
44	431	9154
45	440	9138
46	446	9061
47	455	9024
48	461	8948
49	468	8906
50	474	8837
51	481	8784
52	489	8739
53	495	8686
54	503	8647
55	509	8591
56	516	8545
57	522	8489
58	530	8462
59	538	8438
60	544	8387
61	552	8364
62	559	8324
63	566	8289
64	573	8248
65	580	8211
66	587	8184
67	594	8141
68	606	8179
69	613	8148
70	620	8122
71	626	8080
72	634	8059
73	640	8018
74	648	7997
75	655	7965
76	661	7931
77	666	7878
78	672	7841
79	679	7818
80	686	7785
81	692	7751
82	702	7765
83	709	7737
84	717	7725
85	724	7694
86	732	7683
87	738	7651
88	745	7634
89	753	7616
90	761	7603
91	767	7578
92	774	7550
93	781	7533
94	788	7506
95	795	7488
96	801	7460
97	811	7470
98	818	7447
99	824	7419
100	829	7385
101	836	7361
102	844	7351
103	852	7343
104	862	7349
105	869	7336
106	879	7341
107	887	7326
108	895	7320
109	906	7335
110	916	7338
111	924	7330
112	932	7322
113	941	7317
114	948	7300
115	956	7290
116	965	7289
117	973	7277
118	980	7262
119	987	7239
120	995	7232
121	1002	7212
122	1011	7209
123	1017	7187
124	1025	7181
125	1033	7165
126	1037	7133
127	1044	7118
128	1050	7096
129	1059	7092
130	1067	7079
131	1075	7074
132	1082	7055
133	1090	7047
134	1097	7034
135	1105	7023
136	1114	7023
137	1123	7018
138	1130	7001
139	1137	6988
140	1144	6972
141	1150	6952
142	1159	6950
143	1166	6931
144	1174	6924
145	1180	6905
146	1187	6890
147	1193	6873
148	1200	6854
149	1207	6844
150	1213	6825
151	1222	6820
152	1228	6802
153	1236	6791
154	1243	6777
155	1249	6760
156	1258	6756
157	1264	6739
158	1271	6727
159	1277	6709
160	1287	6708
161	1294	6694
162	1301	6684
163	1309	6674
164	1312	6644
165	1320	6635
166	1327	6621
167	1334	6610
168	1341	6598
169	1349	6587
170	1356	6578
171	1363	6564
172	1372	6560
173	1378	6545
174	1384	6526
175	1391	6513
176	1398	6503
177	1406	6493
178	1413	6482
179	1421	6476
180	1428	6465
181	1437	6461
182	1444	6448
183	1452	6442
184	1459	6429
185	1467	6422
186	1474	6408
187	1481	6398
188	1488	6388
189	1497	6385
190	1506	6381
191	1516	6381
192	1520	6357
193	1527	6345
194	1535	6340
195	1543	6330
196	1552	6326
197	1558	6313
198	1567	6309
199	1574	6296
200	1582	6290
201	1588	6276
202	1596	6267
203	1605	6264
204	1614	6261
205	1621	6250
206	1628	6239
207	1636	6231
208	1643	6220
209	1652	6215
210	1658	6202
211	1667	6197
212	1674	6185
213	1682	6180
214	1689	6168
215	1699	6166
216	1705	6154
217	1715	6155
218	1722	6143
219	1732	6142
220	1738	6129
221	1747	6122
222	1753	6110
223	1762	6105
224	1769	6093
225	1776	6084
226	1783	6073
227	1790	6062
228	1798	6053
229	1804	6042
230	1813	6036
231	1820	6025
232	1828	6020
233	1835	6008
234	1842	5999
235	1850	5989
236	1857	5980
237	1865	5972
238	1871	5959
239	1880	5953
240	1886	5941
241	1894	5934
242	1901	5923
243	1909	5915
244	1916	5905
245	1924	5898
246	1931	5889
247	1939	5879
248	1946	5869
249	1952	5858
250	1962	5855
251	1969	5844
252	1978	5840
253	1984	5828
254	1993	5824
255	2000	5813
256	2009	5811
257	2016	5799
258	2025	5793
259	2032	5784
260	2040	5776
261	2046	5764
262	2049	5741
263	2052	5721
264	2060	5714
265	2066	5702
266	2073	5692
267	2079	5680
268	2086	5670
269	2092	5658
270	2099	5647
271	2106	5637
272	2112	5626
273	2119	5615
274	2125	5604
275	2131	5592
276	2138	5582
277	2145	5571
278	2152	5562
279	2159	5552
280	2165	5541
281	2173	5534
282	2179	5522
283	2187	5513
284	2193	5503
285	2199	5491
286	2207	5484
287	2213	5472
288	2220	5463
289	2226	5451
290	2233	5442
291	2239	5431
292	2246	5420
293	2255	5415
294	2261	5405
295	2269	5397
296	2276	5387
297	2284	5380
298	2291	5371
299	2297	5361
300	2305	5353
301	2311	5342
302	2319	5335
303	2325	5325
304	2333	5316
305	2341	5311
306	2349	5303
307	2357	5296
308	2364	5287
309	2372	5281
310	2380	5273
311	2389	5268
312	2396	5260
313	2405	5254
314	2411	5244
315	2420	5238
316	2426	5228
317	2434	5221
318	2441	5211
319	2449	5204
320	2455	5194
321	2464	5189
322	2472	5181
323	2479	5173
324	2486	5163
325	2492	5153
326	2500	5146
327	2506	5135
328	2514	5127
329	2520	5117
330	2526	5107
331	2533	5097
332	2539	5087
333	2548	5080
334	2554	5070
335	2562	5063
336	2569	5055
337	2577	5048
338	2584	5039
339	2591	5029
340	2599	5023
341	2606	5014
342	2614	5008
343	2621	4999
344	2629	4992
345	2635	4982
346	2643	4973
347	2650	4966
348	2656	4955
349	2664	4948
350	2670	4938
351	2678	4930
352	2685	4921
353	2692	4913
354	2698	4903
355	2704	4892
356	2712	4885
357	2714	4868
358	2721	4858
359	2728	4850
360	2734	4840
361	2742	4833
362	2748	4823
363	2754	4813
364	2763	4807
365	2769	4797
366	2777	4790
367	2784	4782
368	2793	4776
369	2800	4768
370	2802	4751
371	2811	4745
372	2818	4737
373	2826	4731
374	2833	4722
375	2841	4715
376	2848	4706
377	2854	4697
378	2862	4689
379	2868	4680
380	2876	4673
381	2882	4663
382	2889	4655
383	2896	4646
384	2902	4636
385	2907	4624
386	2913	4615
387	2920	4606
388	2927	4597
389	2933	4588
390	2940	4580
391	2947	4570
392	2953	4562
393	2962	4556
394	2968	4547
395	2976	4540
396	2983	4530
397	2991	4524
398	2997	4514
399	3004	4507
400	3010	4497
401	3017	4488
402	3024	4480
403	3030	4470
404	3038	4464
405	3045	4455
406	3052	4448
407	3060	4440
408	3067	4432
409	3075	4425
410	3081	4415
411	3089	4409
412	3095	4400
413	3102	4392
414	3109	4382
415	3116	4374
416	3123	4367
417	3130	4358
418	3141	4356
419	3152	4352
420	3167	4356
421	3183	4360
422	3191	4353
423	3197	4344
424	3205	4336
425	3211	4327
426	3215	4315
427	3222	4306
428	3228	4297
429	3236	4290
430	3242	4280
431	3250	4273
432	3256	4264
433	3263	4255
434	3272	4250
435	3278	4241
436	3288	4236
437	3294	4227
438	3302	4220
439	3309	4211
440	3317	4205
441	3324	4197
442	3333	4191
443	3340	4183
444	3348	4176
445	3356	4169
446	3364	4162
447	3371	4154
448	3378	4145
449	3386	4139
450	3396	4134
451	3405	4128
452	3414	4123
453	3424	4118
454	3436	4115
455	3446	4111
456	3456	4107
457	3469	4106
458	3479	4100
459	3489	4095
460	3502	4094
461	3520	4099
462	3529	4093
463	3536	4085
464	3544	4078
465	3552	4070
466	3560	4064
467	3568	4056
468	3576	4048
469	3583	4041
470	3590	4032
471	3599	4026
472	3605	4017
473	3614	4011
474	3622	4003
475	3631	3997
476	3638	3989
477	3648	3984
478	3655	3975
479	3665	3971
480	3672	3962
481	3682	3957
482	3689	3948
483	3698	3943
484	3705	3934
485	3714	3928
486	3720	3918
487	3729	3912
488	3735	3903
489	3744	3897
490	3749	3886
491	3756	3878
492	3766	3873
493	3775	3867
494	3783	3859
495	3791	3852
496	3798	3844
497	3805	3836
498	3813	3828
499	3820	3820
500	3829	3814
501	3836	3805
502	3845	3799
503	3852	3791
504	3862	3785
505	3870	3778
506	3879	3772
507	3887	3764
508	3895	3757
509	3904	3751
510	3911	3743
511	3919	3735
512	3928	3729
513	3935	3721
514	3943	3713
515	3951	3706
516	3960	3700
517	3967	3691
518	3975	3684
519	3981	3675
520	3989	3667
521	3995	3658
522	4002	3650
523	4009	3642
524	4016	3633
525	4023	3626
526	4030	3617
527	4037	3609
528	4044	3600
529	4051	3592
530	4054	3580
531	4061	3572
532	4068	3564
533	4076	3556
534	4082	3548
535	4091	3542
536	4097	3533
537	4106	3526
538	4114	3518
539	4124	3513
540	4131	3505
541	4140	3498
542	4146	3489
543	4154	3482
544	4160	3473
545	4168	3466
546	4176	3458
547	4183	3450
548	4191	3443
549	4199	3435
550	4206	3428
551	4212	3419
552	4221	3412
553	4227	3403
554	4236	3397
555	4245	3390
556	4254	3383
557	4262	3376
558	4276	3373
559	4286	3368
560	4295	3361
561	4306	3356
562	4319	3352
563	4327	3345
564	4338	3340
565	4342	3330
566	4353	3324
567	4366	3320
568	4380	3317
569	4388	3310
570	4395	3302
571	4403	3294
572	4412	3288
573	4419	3280
574	4426	3272
575	4438	3267
576	4454	3265
577	4471	3264
578	4482	3259
579	4525	3276
580	4540	3274
581	4569	3282
582	4585	3280
583	4610	3284
584	4619	3277
585	4628	3269
586	4636	3261
587	4644	3254
588	4652	3246
589	4660	3238
590	4668	3230
591	4676	3223
592	4684	3215
593	4693	3207
594	4699	3198
595	4705	3189
596	4713	3181
597	4719	3172
598	4726	3164
599	4733	3155
600	4739	3146
601	4747	3138
602	4753	3129
603	4761	3121
604	4767	3112
605	4774	3104
606	4781	3095
607	4787	3086
608	4794	3078
609	4800	3069
610	4807	3060
611	4814	3052
612	4820	3043
613	4828	3035
614	4834	3026
615	4841	3018
616	4847	3009
617	4853	3000
618	4860	2991
619	4866	2982
620	4873	2974
621	4879	2965
622	4885	2956
623	4893	2948
624	4899	2939
625	4907	2931
626	4913	2923
627	4920	2914
628	4926	2905
629	4933	2897
630	4937	2887
631	4943	2878
632	4949	2869
633	4956	2861
634	4962	2852
635	4969	2844
636	4975	2835
637	4982	2826
638	4989	2818
639	4995	2810
640	5001	2801
641	5008	2792
642	5014	2784
643	5022	2776
644	5028	2767
645	5035	2759
646	5041	2750
647	5047	2742
648	5055	2733
649	5061	2725
650	5068	2717
651	5075	2708
652	5081	2700
653	5088	2692
654	5095	2683
655	5101	2675
656	5108	2666
657	5114	2658
658	5122	2650
659	5130	2643
660	5141	2636
661	5147	2628
662	5157	2621
663	5159	2610
664	5168	2603
665	5177	2596
666	5190	2591
667	5199	2584
668	5208	2577
669	5218	2570
670	5227	2563
671	5237	2556
672	5243	2547
673	5250	2539
674	5256	2530
675	5262	2522
676	5269	2514
677	5275	2505
678	5282	2497
679	5288	2488
680	5294	2480
681	5300	2471
682	5306	2463
683	5313	2454
684	5320	2446
685	5326	2438
686	5334	2430
687	5341	2422
688	5348	2414
689	5354	2405
690	5357	2395
691	5364	2387
692	5371	2379
693	5377	2371
694	5385	2363
695	5392	2355
696	5399	2347
697	5405	2338
698	5412	2330
699	5418	2322
700	5425	2314
701	5432	2306
702	5439	2297
703	5445	2289
704	5452	2281
705	5458	2273
706	5465	2265
707	5473	2257
708	5480	2249
709	5486	2240
710	5492	2232
711	5499	2224
712	5505	2216
713	5512	2207
714	5519	2199
715	5526	2191
716	5528	2182
717	5535	2173
718	5541	2165
719	5549	2158
720	5555	2149
721	5562	2141
722	5569	2133
723	5576	2125
724	5582	2117
725	5585	2107
726	5591	2099
727	5597	2091
728	5604	2083
729	5611	2075
730	5617	2067
731	5624	2059
732	5630	2050
733	5636	2042
734	5643	2034
735	5650	2026
736	5657	2018
737	5663	2010
738	5669	2002
739	5676	1994
740	5682	1986
741	5689	1978
742	5695	1970
743	5701	1961
744	5708	1954
745	5715	1946
746	5722	1938
747	5729	1930
748	5735	1922
749	5742	1914
750	5748	1906
751	5755	1898
752	5762	1890
753	5768	1882
754	5775	1874
755	5782	1866
756	5788	1858
757	5795	1850
758	5801	1842
759	5808	1834
760	5815	1826
761	5823	1818
762	5829	1810
763	5835	1802
764	5843	1794
765	5849	1786
766	5857	1779
767	5864	1771
768	5871	1763
769	5877	1755
770	5883	1747
771	5891	1739
772	5898	1732
773	5906	1724
774	5912	1716
775	5921	1709
776	5928	1701
777	5937	1694
778	5945	1686
779	5954	1679
780	5962	1671
781	5970	1664
782	5977	1656
783	5985	1649
784	5993	1641
785	6000	1633
786	6007	1625
787	6014	1618
788	6022	1610
789	6029	1602
790	6037	1595
791	6043	1587
792	6050	1579
793	6057	1571
794	6063	1563
795	6070	1555
796	6077	1547
797	6083	1540
798	6090	1532
799	6096	1524
800	6103	1516
801	6109	1508
802	6116	1500
803	6122	1492
804	6128	1484
805	6135	1476
806	6141	1468
807	6148	1461
808	6155	1453
809	6161	1445
810	6169	1437
811	6175	1429
812	6182	1422
813	6189	1414
814	6195	1406
815	6202	1398
816	6209	1390
817	6215	1382
818	6221	1375
819	6228	1367
820	6235	1359
821	6241	1351
822	6248	1343
823	6254	1336
824	6261	1328
825	6269	1320
826	6275	1312
827	6282	1304
828	6288	1297
829	6294	1289
830	6301	1281
831	6307	1273
832	6314	1265
833	6320	1258
834	6327	1250
835	6334	1242
836	6341	1234
837	6348	1227
838	6354	1219
839	6361	1211
840	6368	1204
841	6375	1196
842	6382	1188
843	6389	1180
844	6395	1173
845	6402	1165
846	6408	1157
847	6415	1150
848	6422	1142
849	6429	1134
850	6435	1126
851	6442	1119
852	6448	1111
853	6455	1103
854	6462	1095
855	6468	1088
856	6475	1080
857	6482	1072
858	6489	1065
859	6496	1057
860	6502	1049
861	6509	1042
862	6515	1034
863	6521	1026
864	6528	1018
865	6534	1011
866	6541	1003
867	6547	995
868	6554	988
869	6561	980
870	6567	972
871	6574	965
872	6581	957
873	6588	949
874	6595	942
875	6602	934
876	6608	926
877	6615	919
878	6621	911
879	6628	903
880	6635	896
881	6641	888
882	6648	880
883	6655	873
884	6662	865
885	6668	858
886	6675	850
887	6682	842
888	6689	835
889	6696	827
890	6702	819
891	6709	812
892	6715	804
893	6722	797
894	6729	789
895	6735	781
896	6742	774
897	6748	766
898	6755	758
899	6761	751
900	6767	743
901	6774	736
902	6780	728
903	6787	720
904	6795	713
905	6801	705
906	6808	698
907	6814	690
908	6821	682
909	6828	675
910	6834	667
911	6841	660
912	6847	652
913	6854	644
914	6861	637
915	6867	629
916	6874	622
917	6880	614
918	6888	607
919	6894	599
920	6900	591
921	6907	584
922	6914	576
923	6921	569
924	6927	561
925	6934	554
926	6940	546
927	6947	538
928	6954	531
929	6960	523
930	6967	516
931	6974	508
932	6980	501
933	6987	493
934	6993	486
935	7001	478
936	7007	471
937	7014	463
938	7021	456
939	7027	448
940	7034	441
941	7040	433
942	7047	425
943	7054	418
944	7060	410
945	7067	403
946	7073	395
947	7079	388
948	7086	380
949	7093	373
950	7100	365
951	7107	358
952	7114	350
953	7120	343
954	7126	335
955	7133	328
956	7139	320
957	7146	313
958	7152	305
959	7158	298
960	7165	290
961	7171	283
962	7178	275
963	7185	268
964	7191	260
965	7199	253
966	7205	245
967	7212	238
968	7219	230
969	7225	223
970	7232	216
971	7239	208
972	7245	201
973	7252	193
974	7258	186
975	7265	178
976	7272	171
977	7279	163
978	7285	156
979	7292	148
980	7299	141
981	7305	133
982	7312	126
983	7319	119
984	7325	111
985	7332	104
986	7338	96
987	7345	89
988	7351	81
989	7358	74
990	7365	66
991	7371	59
992	7378	52
993	7384	44
994	7391	37
995	7398	29
996	7404	22
997	7411	14
998	7418	7
999	7424	0
